Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Power,Brand,Model
Mumbai,2014,33000,Petrol,Manual,First,21.0,85.0,MARUTI,RITZ VXI
Delhi,2008,70000,Petrol,Manual,First,13.0,141.0,HONDA,CR-V 2.0L 2WD MT
Delhi,2012,75000,Diesel,Manual,Second,15.0,140.0,MAHINDRA,XUV500 W8 2WD
Jaipur,2016,58095,Diesel,Manual,First,21.0,108.0,VOLKSWAGEN,AMEO 1.5 TDI COMFORTLINE
Kolkata,2015,7445,Petrol,Manual,First,17.0,88.0,TATA,ZEST REVOTRON 1.2 XT
Kochi,2016,17652,Diesel,Automatic,First,12.0,270.0,JAGUAR,XJ 3.0L PORTFOLIO LWB
Kochi,2018,28321,Petrol,Automatic,First,14.0,138.0,TOYOTA,COROLLA ALTIS 1.8 VL CVT
Pune,2011,69000,Petrol,Manual,Second,19.0,66.0,MARUTI,A-STAR VXI
Mumbai,2007,80000,Petrol,Automatic,First,11.0,142.0,HONDA,ACCORD VTI-L (AT)
Delhi,2014,42365,Petrol,Manual,First,17.0,80.0,HYUNDAI,I20 ASTA (O)
Delhi,2013,123000,Diesel,Automatic,First,12.0,168.0,TOYOTA,FORTUNER 4X2 AT
Mumbai,2011,40000,Petrol,Automatic,Second,11.0,186.0,MERCEDES-BENZ,NEW C-CLASS C 200 CGI AVANTGARDE
Hyderabad,2016,30112,Diesel,Manual,First,27.0,74.0,MARUTI,BALENO ALPHA 1.3
Kochi,2017,43775,Diesel,Manual,First,20.0,88.0,MARUTI,ERTIGA VDI
Kochi,2019,26013,Diesel,Automatic,First,12.0,255.0,LAND,ROVER RANGE ROVER SPORT SE
Mumbai,2012,56000,Petrol,Manual,First,12.0,102.0,CHEVROLET,OPTRA MAGNUM 1.6 LT ABS BS3
Hyderabad,2008,95000,Petrol,Automatic,Second,12.0,130.0,HONDA,CIVIC 2006-2010 1.8 V AT
Coimbatore,2014,41089,Diesel,Automatic,First,16.0,184.0,BMW,X3 XDRIVE20D
Mumbai,2011,41988,Diesel,Automatic,First,20.0,138.0,SKODA,LAURA AMBITION 2.0 TDI CR AT
Delhi,2013,72486,Diesel,Manual,First,23.0,74.0,MARUTI,SWIFT DZIRE VDI
Pune,2013,92000,Diesel,Automatic,First,23.0,150.0,VOLVO,V40 CROSS COUNTRY D3
Delhi,2013,40000,Petrol,Manual,First,17.0,85.0,MARUTI,SWIFT DZIRE ZXI
Bangalore,2014,56000,Diesel,Automatic,First,12.0,187.0,LAND,ROVER RANGE ROVER 2.2L PURE
Mumbai,2008,125000,Petrol,Automatic,Third,11.0,177.0,HONDA,ACCORD 2.4 AT
Kochi,2017,29219,Diesel,Manual,First,12.0,100.0,TOYOTA,INNOVA 2.5 G (DIESEL) 8 SEATER
Hyderabad,2018,39927,Diesel,Manual,First,12.0,168.0,TOYOTA,FORTUNER 4X4 MT
Kochi,2018,38593,Petrol,Manual,First,18.0,88.0,HONDA,JAZZ 1.2 E I VTEC
Kolkata,2015,32000,Petrol,Manual,First,17.0,118.0,HONDA,CITY 1.5 V MT
Hyderabad,2017,28226,Diesel,Automatic,First,28.0,73.0,MARUTI,DZIRE AMT ZDI PLUS
Pune,2014,95000,Diesel,Manual,First,21.0,84.0,NISSAN,SUNNY 2011-2014 DIESEL XL
Chennai,2014,194000,Diesel,Manual,First,12.0,100.0,TOYOTA,INNOVA 2.5 G (DIESEL) 8 SEATER
Coimbatore,2016,14821,Petrol,Manual,First,19.0,86.0,HONDA,BRIO S MT
Bangalore,2012,52000,Petrol,Manual,First,15.0,103.0,VOLKSWAGEN,VENTO PETROL TRENDLINE
Mumbai,2016,33000,Diesel,Manual,First,16.0,140.0,MAHINDRA,XUV500 W4
Chennai,2016,29200,Diesel,Manual,First,23.0,98.0,FORD,ECOSPORT 1.5 DIESEL TITANIUM PLUS
Hyderabad,2012,99754,Diesel,Manual,First,17.0,108.0,SKODA,YETI AMBITION 4X2
Chennai,2012,49000,Petrol,Manual,First,20.0,78.0,HYUNDAI,I10 SPORTZ
Hyderabad,2005,299322,Diesel,Manual,First,12.0,102.0,TOYOTA,INNOVA 2.5 G (DIESEL) 8 SEATER BS IV
Coimbatore,2018,38310,Diesel,Manual,First,20.0,88.0,TATA,ZEST QUADRAJET 1.3 XT
Delhi,2014,56000,Diesel,Manual,First,22.0,74.0,MARUTI,SWIFT VDI
Kolkata,2017,31300,Diesel,Automatic,First,21.0,108.0,SKODA,RAPID 1.5 TDI AT STYLE
Coimbatore,2019,11241,Diesel,Manual,First,13.0,147.0,TOYOTA,INNOVA CRYSTA 2.4 VX MT 8S
Pune,2014,48000,Petrol,Manual,Second,17.0,121.0,HYUNDAI,VERNA 1.6 SX VTVT
Coimbatore,2019,23882,Petrol,Manual,First,17.0,117.0,HONDA,CITY I VTEC VX OPTION
Hyderabad,2014,65000,Diesel,Manual,First,26.0,98.0,HONDA,CITY I DTEC SV
Jaipur,2011,50000,Diesel,Manual,First,20.0,103.0,VOLKSWAGEN,VENTO DIESEL HIGHLINE
Chennai,2014,25000,Diesel,Automatic,First,12.0,236.0,AUDI,Q5 2008-2012 3.0 TDI
Chennai,2015,21000,Petrol,Manual,First,22.0,47.0,MARUTI,ALTO 800 LXI
Pune,2012,148000,Diesel,Manual,Second,21.0,88.0,TATA,MANZA ELAN QUADRAJET BS IV
Delhi,2016,68000,Petrol,Manual,First,15.0,121.0,HYUNDAI,CRETA 1.6 SX PLUS DUAL TONE PETROL
Bangalore,2014,52000,Diesel,Automatic,First,12.0,224.0,MERCEDES-BENZ,GL-CLASS 2007 2012 350 CDI LUXURY
Jaipur,2016,19000,Diesel,Manual,First,16.0,105.0,MAHINDRA,THAR CRDE
Mumbai,2011,74000,Diesel,Manual,Second,22.0,126.0,HYUNDAI,VERNA 1.6 CRDI
Coimbatore,2017,30279,Diesel,Manual,First,26.0,99.0,FORD,ASPIRE TITANIUM DIESEL
Mumbai,2016,20000,Diesel,Automatic,First,20.0,113.0,MINI,COOPER 3 DOOR D
Hyderabad,2013,34834,Petrol,Manual,First,14.0,35.0,MARUTI,OMNI 8 SEATER BSIV
Pune,2015,90000,Diesel,Manual,Second,21.0,65.0,MAHINDRA,VERITO 1.5 D4 BSIV
Coimbatore,2016,38730,Diesel,Automatic,First,14.0,203.0,MERCEDES-BENZ,E-CLASS 2009-2013 E250 CDI ELEGANCE
Kochi,2016,57390,Diesel,Manual,First,19.0,108.0,RENAULT,DUSTER 110PS DIESEL RXZ
Kolkata,2016,100000,Diesel,Manual,First,23.0,74.0,MARUTI,SWIFT DZIRE TOUR LDI
Kolkata,2011,50000,Petrol,Manual,First,16.0,73.0,VOLKSWAGEN,POLO PETROL HIGHLINE 1.2L
Coimbatore,2017,64961,Diesel,Manual,First,16.0,140.0,MAHINDRA,XUV500 W10 2WD
Coimbatore,2014,72465,Petrol,Manual,First,16.0,74.0,VOLKSWAGEN,POLO 1.2 MPI HIGHLINE
Hyderabad,2012,68776,Petrol,Manual,First,21.0,85.0,MARUTI,RITZ VXI
Pune,2005,150000,Petrol,Manual,First,14.0,97.0,CHEVROLET,OPTRA 1.6 ELITE
Delhi,2012,68000,Diesel,Manual,First,12.0,102.0,TOYOTA,INNOVA 2.5 GX 7 STR BSIV
Delhi,2015,33000,Diesel,Manual,First,26.0,98.0,HONDA,CITY I DTEC SV
Coimbatore,2017,22389,Petrol,Manual,First,17.0,73.0,VOLKSWAGEN,AMEO 1.2 MPI HIGHLINE
Mumbai,2012,90000,Diesel,Manual,First,21.0,88.0,MARUTI,SX4 ZDI LEATHER
Chennai,2012,42000,Petrol,Manual,Third,18.0,85.0,MARUTI,SWIFT ZXI
Pune,2017,38767,Diesel,Manual,First,19.0,126.0,HYUNDAI,CRETA 1.6 CRDI SX
Bangalore,2015,21000,Diesel,Automatic,First,12.0,241.0,AUDI,Q7 35 TDI QUATTRO TECHNOLOGY
Coimbatore,2010,59136,Petrol,Manual,First,19.0,46.0,MARUTI,ALTO LXI BSIII
Kolkata,2014,36000,Diesel,Manual,First,25.0,98.0,HONDA,AMAZE SX I-DTEC
Chennai,2011,95000,Diesel,Automatic,Second,18.0,167.0,VOLKSWAGEN,PASSAT DIESEL HIGHLINE 2.0 TDI
Mumbai,2013,51000,Diesel,Automatic,First,19.0,126.0,HYUNDAI,ELANTRA CRDI SX AT
Kochi,2011,36411,Petrol,Manual,First,18.0,67.0,MARUTI,WAGON R VXI BS IV
Mumbai,2017,40000,Diesel,Automatic,First,12.0,148.0,LAND,ROVER DISCOVERY SPORT TD4 HSE 7S
Pune,2016,27300,Petrol,Manual,First,17.0,117.0,HONDA,CITY I VTEC SV
Kochi,2011,29813,Petrol,Automatic,Second,14.0,181.0,MERCEDES-BENZ,NEW C-CLASS C 200 AVANTGARDE EDITION C
Pune,2011,71000,Petrol,Manual,First,20.0,67.0,MARUTI,WAGON R LX BS IV
Kolkata,2014,32000,Diesel,Manual,First,22.0,126.0,HYUNDAI,VERNA 1.6 CRDI
Mumbai,2017,19234,CNG,Manual,First,17.0,80.0,MARUTI,ERTIGA VXI CNG
Jaipur,2017,50510,Diesel,Automatic,First,17.0,141.0,VOLKSWAGEN,TIGUAN 2.0 TDI HIGHLINE
Pune,2011,102000,Diesel,Automatic,First,15.0,177.0,BMW,X1 SDRIVE 20D EXCLUSIVE
Kolkata,2014,42277,Diesel,Manual,First,24.0,73.0,HYUNDAI,GRAND I10 1.2 CRDI SPORTZ OPTION
Mumbai,2014,46000,Diesel,Automatic,First,13.0,201.0,MERCEDES-BENZ,E-CLASS E250 CDI AVANTGRADE
Chennai,2012,35000,Diesel,Manual,First,13.0,97.0,MAHINDRA,BOLERO ZLX
Bangalore,2015,50000,Petrol,Manual,First,18.0,82.0,HYUNDAI,GRAND I10 ASTA OPTION
Mumbai,2008,62000,Petrol,Manual,Second,20.0,78.0,HYUNDAI,I10 MAGNA 1.2
Mumbai,2012,78000,Diesel,Manual,First,19.0,138.0,VOLKSWAGEN,JETTA 2012-2014 2.0L TDI COMFORTLINE
Chennai,2011,79000,Diesel,Manual,First,17.0,138.0,SKODA,YETI ELEGANCE
Kochi,2019,6773,Diesel,Automatic,First,14.0,245.0,AUDI,Q7 45 TDI QUATTRO PREMIUM PLUS
Chennai,2010,135000,Diesel,Manual,Second,11.0,171.0,TOYOTA,FORTUNER 3.0 DIESEL
Kochi,2013,36716,Petrol,Manual,First,18.0,67.0,MARUTI,WAGON R VXI MINOR ABS
Coimbatore,2013,65060,Petrol,Manual,First,21.0,55.0,HYUNDAI,EON ERA
Delhi,2013,33000,Petrol,Manual,First,19.0,86.0,HONDA,BRIO S MT
Kolkata,2015,11110,Petrol,Manual,First,22.0,47.0,MARUTI,ALTO 800 VXI
Jaipur,2013,63000,Diesel,Manual,First,15.0,62.0,MAHINDRA,BOLERO ZLX
Mumbai,2015,27030,Petrol,Manual,First,17.0,117.0,HONDA,CITY I VTEC SV
Mumbai,2015,19600,Petrol,Manual,First,15.0,103.0,SKODA,RAPID 1.6 MPI ELEGANCE BLACK PACKAGE
Pune,2016,27755,Petrol,Manual,First,22.0,81.0,MARUTI,SWIFT VVT VXI
Hyderabad,2013,20000,Petrol,Manual,Second,21.0,55.0,HYUNDAI,EON MAGNA PLUS
Kochi,2015,24782,Petrol,Manual,First,20.0,83.0,MARUTI,SWIFT DZIRE ZXI
Coimbatore,2014,47303,Petrol,Automatic,First,19.0,76.0,NISSAN,MICRA XV CVT
Delhi,2008,71000,Petrol,Automatic,First,8.0,250.0,AUDI,Q7 4.2 FSI QUATTRO
Pune,2010,135000,Diesel,Manual,First,17.0,75.0,MARUTI,SWIFT VDI BSIII
Jaipur,2017,1000,Diesel,Manual,First,13.0,138.0,TATA,XENON XT EX 4X2
Kolkata,2016,29000,Diesel,Manual,First,20.0,88.0,VOLKSWAGEN,POLO 1.5 TDI COMFORTLINE
Kochi,2016,36367,Petrol,Manual,First,17.0,117.0,HONDA,CITY I VTEC SV
Bangalore,2015,38000,Petrol,Manual,First,17.0,117.0,HONDA,CITY I VTEC V
Hyderabad,2011,83969,Petrol,Manual,First,16.0,37.0,MARUTI,800 AC BSIII
Jaipur,2014,82621,Diesel,Manual,First,20.0,88.0,VOLKSWAGEN,POLO 1.5 TDI TRENDLINE
Pune,2009,89000,Diesel,Automatic,First,12.0,147.0,CHEVROLET,CAPTIVA LTZ VCDI
Kolkata,2016,54000,Diesel,Manual,First,16.0,140.0,MAHINDRA,XUV500 W10 2WD
Kochi,2015,61691,Diesel,Manual,First,25.0,98.0,HONDA,AMAZE VX I-DTEC
Chennai,2011,32200,Petrol,Manual,Second,17.0,80.0,HYUNDAI,I20 1.2 SPORTZ OPTION
Jaipur,2016,68630,Petrol,Automatic,First,20.0,67.0,MARUTI,WAGON R AMT VXI
Mumbai,2014,61000,Diesel,Automatic,Second,16.0,138.0,VOLKSWAGEN,JETTA 2013-2015 2.0L TDI HIGHLINE AT
Mumbai,2018,32644,Petrol,Manual,First,20.0,91.0,MARUTI,CIAZ 1.4 ZETA
Delhi,2012,85000,Diesel,Automatic,First,11.0,120.0,MAHINDRA,SCORPIO 2009-2014 VLX 4WD AT 7S BSIV
Mumbai,2008,75000,Petrol,Manual,Second,15.0,74.0,CHEVROLET,AVEO U-VA 1.2 LS
Kochi,2016,40347,Petrol,Manual,First,20.0,91.0,MARUTI,CIAZ ZXI OPTION
Hyderabad,2012,60788,Diesel,Manual,First,23.0,90.0,HYUNDAI,I20 1.4 CRDI ASTA
Kochi,2018,18664,Petrol,Manual,First,18.0,88.0,HONDA,JAZZ 1.2 SV I VTEC
Coimbatore,2017,57847,Diesel,Manual,First,16.0,140.0,MAHINDRA,XUV500 W10 2WD
Bangalore,2012,52237,Petrol,Manual,First,17.0,80.0,HYUNDAI,I20 1.2 SPORTZ
Chennai,2012,128000,Diesel,Manual,First,22.0,126.0,HYUNDAI,VERNA 1.6 SX
Delhi,2011,54000,Petrol,Manual,First,19.0,68.0,HYUNDAI,I10 ERA 1.1
Bangalore,2014,49800,Petrol,Automatic,First,23.0,67.0,MARUTI,CELERIO VXI AT
Kolkata,2012,98000,Diesel,Manual,First,20.0,73.0,SKODA,FABIA 1.2 TDI AMBITION
Delhi,2015,60095,Diesel,Manual,First,25.0,74.0,MARUTI,SWIFT VDI BSIV
Pune,2008,68000,Petrol,Manual,Second,16.0,66.0,HYUNDAI,I10 MAGNA(O) WITH SUN ROOF
Jaipur,2010,81402,Petrol,Manual,Second,20.0,78.0,HYUNDAI,I10 MAGNA 1.2
Mumbai,2013,38000,Petrol,Automatic,First,16.0,110.0,FORD,ECOSPORT 1.5 TI VCT AT TITANIUM
Kochi,2011,92239,Diesel,Automatic,Second,11.0,210.0,MERCEDES-BENZ,E-CLASS 2009-2013 E350 CDI AVANTGARDE
Ahmedabad,2017,49224,Diesel,Manual,First,25.0,74.0,MARUTI,SWIFT VDI BSIV
Jaipur,2004,12000,Petrol,Manual,Second,16.0,37.0,MARUTI,800 STD BSIII
Pune,2010,54898,Petrol,Manual,Third,16.0,88.0,MARUTI,SWIFT LXI BSIII
Mumbai,2018,2500,Petrol,Manual,First,15.0,121.0,HYUNDAI,CRETA 1.6 SX PLUS DUAL TONE PETROL
Kochi,2017,32838,Diesel,Automatic,First,17.0,190.0,BMW,X1 M SPORT SDRIVE 20D
Hyderabad,2006,27076,Petrol,Manual,First,13.0,70.0,FORD,IKON 1.3 FLAIR
Kochi,2017,75445,Diesel,Manual,First,22.0,89.0,FORD,ECOSPORT 1.5 DV5 MT TITANIUM OPTIONAL
Kochi,2015,46601,Petrol,Manual,First,20.0,91.0,MARUTI,CIAZ VXI PLUS
Kolkata,2012,72000,Diesel,Automatic,First,18.0,167.0,VOLKSWAGEN,PASSAT DIESEL HIGHLINE 2.0 TDI
Pune,2017,27000,Diesel,Manual,First,27.0,98.0,HONDA,JAZZ 1.5 VX I DTEC
Coimbatore,2016,68193,Diesel,Automatic,First,17.0,174.0,AUDI,A4 35 TDI PREMIUM
Kochi,2017,34429,Diesel,Manual,First,24.0,70.0,HYUNDAI,GRAND I10 CRDI SPORTZ CELEBRATION EDITION
Delhi,2013,46000,Diesel,Automatic,First,12.0,224.0,MERCEDES-BENZ,GL-CLASS 2007 2012 350 CDI LUXURY
Coimbatore,2013,80544,Diesel,Manual,First,12.0,100.0,TOYOTA,INNOVA 2.5 G (DIESEL) 7 SEATER
Jaipur,2011,42000,Petrol,Manual,Second,16.0,97.0,NISSAN,SUNNY 2011-2014 XL
Bangalore,2011,94821,Diesel,Automatic,Second,20.0,138.0,SKODA,LAURA AMBIENTE 2.0 TDI CR AT
Jaipur,2006,100000,Petrol,Manual,First,14.0,92.0,CHEVROLET,AVEO 1.4 LS
Mumbai,2014,57000,Diesel,Manual,First,24.0,98.0,HONDA,MOBILIO V I DTEC
Hyderabad,2010,79894,Diesel,Manual,First,21.0,73.0,MARUTI,RITZ VDI
Coimbatore,2011,44748,Petrol,Manual,Second,16.0,73.0,VOLKSWAGEN,POLO PETROL HIGHLINE 1.2L
Mumbai,2013,31000,Petrol,Manual,First,13.0,102.0,NISSAN,TERRANO XL
Coimbatore,2013,60587,Petrol,Automatic,Second,16.0,66.0,MARUTI,A-STAR AT VXI AKTIV
Pune,2011,32000,Diesel,Manual,First,23.0,97.0,TOYOTA,ETIOS LIVA GD
Pune,2014,43772,Petrol,Manual,First,17.0,118.0,HONDA,CITY 1.5 S MT
Coimbatore,2017,23576,Petrol,Automatic,First,18.0,82.0,HYUNDAI,GRAND I10 AT ASTA
Hyderabad,2017,4000,Diesel,Automatic,First,13.0,177.0,JAGUAR,XE 2.0L DIESEL PRESTIGE
Kolkata,2012,62000,Diesel,Manual,First,12.0,120.0,MAHINDRA,SCORPIO VLX
Mumbai,2011,36000,Petrol,Automatic,First,11.0,186.0,MERCEDES-BENZ,NEW C-CLASS C 200 KOMPRESSOR ELEGANCE AT
Delhi,2014,80000,Petrol,Automatic,First,13.0,157.0,SKODA,SUPERB ELEGANCE 1.8 TSI AT
Pune,2012,137008,Diesel,Automatic,First,18.0,147.0,CHEVROLET,CRUZE LTZ AT
Delhi,2010,61001,Diesel,Manual,First,12.0,120.0,MAHINDRA,SCORPIO VLX
Coimbatore,2015,52191,Petrol,Manual,First,17.0,121.0,HYUNDAI,VERNA 1.6 SX VTVT (O)
Hyderabad,2016,77076,Diesel,Manual,First,23.0,90.0,HYUNDAI,I20 1.4 ASTA CRDI WITH AVN
Hyderabad,2008,56000,Petrol,Automatic,First,16.0,78.0,HONDA,CITY ZX CVT
Kolkata,2013,21000,Petrol,Manual,First,20.0,78.0,HYUNDAI,I10 MAGNA
Delhi,2013,89429,Diesel,Manual,First,25.0,98.0,HONDA,AMAZE S I-DTECH
Delhi,2012,45631,Petrol,Manual,Second,22.0,67.0,MARUTI,WAGON R LXI
Jaipur,2013,53959,Petrol,Manual,First,19.0,86.0,HONDA,BRIO S MT
Kochi,2014,55804,Petrol,Manual,First,17.0,80.0,HYUNDAI,I20 1.2 SPORTZ OPTION
Kochi,2016,25899,Petrol,Manual,First,15.0,103.0,VOLKSWAGEN,VENTO 2013-2015 1.6 COMFORTLINE
Pune,2008,82000,Diesel,Manual,Second,18.0,66.0,SKODA,OCTAVIA RIDER 1.9 TDI MT
Mumbai,2014,52000,Diesel,Automatic,First,13.0,204.0,MERCEDES-BENZ,E-CLASS 2015-2017 E250 CDI AVANTGARDE
Pune,2013,20000,Petrol,Manual,First,13.0,102.0,RENAULT,DUSTER PETROL RXL
Hyderabad,2017,31829,Petrol,Manual,First,21.0,55.0,HYUNDAI,EON SPORTZ
Coimbatore,2016,18094,Petrol,Manual,Second,18.0,85.0,MARUTI,SWIFT VXI
Jaipur,2011,80000,Diesel,Manual,Second,19.0,97.0,NISSAN,MICRA DIESEL
Mumbai,2015,11964,Diesel,Automatic,First,13.0,241.0,AUDI,Q5 3.0 TDI QUATTRO TECHNOLOGY
Coimbatore,2018,22684,Petrol,Manual,First,18.0,81.0,HYUNDAI,I20 1.2 SPOTZ
Bangalore,2014,43521,Petrol,Manual,First,19.0,86.0,HONDA,BRIO S MT
Kochi,2014,49386,Petrol,Manual,First,17.0,85.0,MARUTI,SWIFT DZIRE ZXI
Delhi,2017,12248,Petrol,Manual,First,18.0,81.0,HYUNDAI,GRAND I10 1.2 KAPPA MAGNA
Coimbatore,2014,67771,Diesel,Manual,First,11.0,112.0,MAHINDRA,XYLO E8 ABS BS IV
Delhi,2015,60007,Petrol,Automatic,First,17.0,189.0,VOLKSWAGEN,POLO GTI
Coimbatore,2011,48624,Petrol,Manual,First,24.0,67.0,MARUTI,ALTO K10 VXI
Kolkata,2014,30000,Diesel,Manual,First,22.0,73.0,VOLKSWAGEN,POLO DIESEL COMFORTLINE 1.2L
Delhi,2016,81605,Petrol,Manual,First,18.0,82.0,HYUNDAI,GRAND I10 SPORTZ
Coimbatore,2017,32642,Diesel,Automatic,First,14.0,170.0,MERCEDES-BENZ,NEW C-CLASS C 220 CDI ELEGANCE AT
Pune,2014,34200,Petrol,Automatic,First,15.0,121.0,HYUNDAI,VERNA 1.6 SX VTVT AT
Chennai,2010,72204,Petrol,Manual,First,15.0,67.0,FIAT,PUNTO EVO 1.2 EMOTION
Pune,2011,156347,Diesel,Manual,Second,12.0,100.0,TOYOTA,INNOVA 2.5 VX (DIESEL) 8 SEATER BS IV
Kochi,2017,47357,Diesel,Automatic,First,18.0,100.0,MAHINDRA,TUV 300 2015-2019 MHAWK100 T8 AMT
Coimbatore,2015,61738,Diesel,Manual,First,20.0,88.0,VOLKSWAGEN,POLO 1.5 TDI COMFORTLINE
Kochi,2018,32586,Diesel,Automatic,First,22.0,190.0,BMW,5 SERIES 520D LUXURY LINE
Coimbatore,2018,40129,Diesel,Automatic,First,11.0,254.0,MERCEDES-BENZ,GLE 350D
Mumbai,2012,51000,Diesel,Automatic,First,11.0,254.0,MERCEDES-BENZ,M-CLASS ML 350 CDI
Kochi,2018,10393,Petrol,Manual,First,18.0,81.0,HYUNDAI,GRAND I10 1.2 KAPPA SPORTZ
Mumbai,2011,46000,Petrol,Automatic,First,13.0,157.0,SKODA,SUPERB ELEGANCE 1.8 TSI AT
Chennai,2013,21000,Petrol,Automatic,First,16.0,78.0,HYUNDAI,I10 SPORTZ AT
Hyderabad,2011,113562,Diesel,Manual,First,23.0,90.0,HYUNDAI,I20 1.4 CRDI ASTA
Mumbai,2011,100010,Diesel,Manual,Second,12.0,120.0,MAHINDRA,SCORPIO VLX
Mumbai,2013,63107,Petrol,Manual,First,19.0,86.0,HONDA,BRIO V MT
Jaipur,2017,58500,Petrol,Manual,First,18.0,81.0,HYUNDAI,I20 1.2 MAGNA EXECUTIVE
Pune,2007,90000,Diesel,Manual,Fourth & Above,10.0,143.0,FORD,ENDEAVOUR 4X2 XLT LIMITED EDITION
Chennai,2011,108242,Diesel,Manual,First,16.0,110.0,HYUNDAI,VERNA CRDI SX
Pune,2011,146300,Diesel,Manual,First,11.0,171.0,TOYOTA,FORTUNER 3.0 DIESEL
Pune,2011,62943,Diesel,Automatic,Second,17.0,184.0,BMW,X1 SDRIVE20D
Delhi,2013,65000,Diesel,Automatic,First,12.0,168.0,TOYOTA,FORTUNER 4X2 AT
Pune,2018,1700,Petrol,Automatic,First,19.0,88.0,HONDA,AMAZE V CVT PETROL
Kochi,2013,34697,Petrol,Manual,First,19.0,68.0,HYUNDAI,I10 ERA 1.1
Hyderabad,2012,58000,Petrol,Manual,First,17.0,80.0,HYUNDAI,I20 1.2 SPORTZ
Mumbai,2015,32500,Diesel,Automatic,First,19.0,187.0,BMW,3 SERIES 320D GT LUXURY LINE
Coimbatore,2016,58661,Diesel,Automatic,First,15.0,181.0,AUDI,Q3 35 TDI QUATTRO PREMIUM PLUS
Kochi,2017,37124,Petrol,Manual,First,20.0,81.0,MARUTI,SWIFT VXI OPTIONAL
Delhi,2017,44000,Petrol,Automatic,First,21.0,83.0,MARUTI,BALENO DELTA AUTOMATIC
Kolkata,2005,45200,Petrol,Manual,First,13.0,94.0,HYUNDAI,ACCENT GLE
Mumbai,2016,11000,Petrol,Manual,First,18.0,85.0,MARUTI,RITZ LXI
Pune,2011,65000,Petrol,Manual,Second,26.0,35.0,TATA,NANO LX
Ahmedabad,2012,55005,Diesel,Manual,First,20.0,68.0,FORD,FIGO DIESEL EXI
Hyderabad,2011,81650,Diesel,Automatic,First,18.0,167.0,VOLKSWAGEN,PASSAT DIESEL HIGHLINE 2.0 TDI
Chennai,2010,160000,Diesel,Manual,Second,19.0,93.0,FIAT,LINEA EMOTION PACK (DIESEL)
Hyderabad,2015,169000,Diesel,Manual,First,14.0,93.0,MAHINDRA,XYLO D4
Hyderabad,2013,67263,Petrol,Manual,First,18.0,67.0,MARUTI,WAGON R VXI
Kochi,2012,44223,Petrol,Manual,First,17.0,88.0,TOYOTA,ETIOS G SAFETY
Coimbatore,2015,36840,Petrol,Manual,First,18.0,82.0,HYUNDAI,GRAND I10 SPORTZ
Pune,2014,160000,Diesel,Manual,First,12.0,100.0,TOYOTA,INNOVA 2.5 VX (DIESEL) 8 SEATER BS IV
Kolkata,2008,133000,Diesel,Manual,First,16.0,62.0,TATA,INDICA V2 DLS TC
Mumbai,2015,69123,Diesel,Automatic,First,18.0,184.0,BMW,3 SERIES 320D SPORT LINE
Delhi,2017,38000,Diesel,Automatic,First,10.0,197.0,FORD,ENDEAVOUR 3.2 TITANIUM AT 4X4
Mumbai,2017,5500,Petrol,Manual,First,21.0,103.0,MARUTI,CIAZ ZETA
Kolkata,2015,1001,Diesel,Manual,First,25.0,99.0,FORD,FIGO 1.5D TITANIUM PLUS MT
Pune,2007,59000,Petrol,Manual,Third,15.0,74.0,CHEVROLET,AVEO U-VA 1.2 LS
Delhi,2011,78256,Petrol,Automatic,First,16.0,118.0,HONDA,CITY 1.5 V AT
Chennai,2016,90000,Petrol,Manual,First,16.0,97.0,NISSAN,SUNNY XL
Kolkata,2016,18000,Petrol,Manual,First,19.0,85.0,MARUTI,SWIFT DZIRE VXI
Kolkata,2012,60000,Diesel,Manual,First,20.0,68.0,FORD,FIGO DIESEL TITANIUM
Jaipur,2011,130000,Diesel,Manual,First,20.0,75.0,FIAT,GRANDE PUNTO 1.3 EMOTION (DIESEL)
Coimbatore,2018,32851,Petrol,Manual,First,18.0,81.0,HYUNDAI,ELITE I20 PETROL ASTA
Kolkata,2014,32000,Diesel,Manual,First,23.0,74.0,MARUTI,SWIFT DZIRE VDI
Hyderabad,2014,62700,Diesel,Manual,First,22.0,89.0,FORD,ECOSPORT 1.5 DV5 MT TITANIUM
Jaipur,2010,71000,Diesel,Manual,First,19.0,73.0,MARUTI,SWIFT DZIRE VDI
Kochi,2016,19947,Petrol,Manual,First,18.0,82.0,HYUNDAI,GRAND I10 SPORTZ
Hyderabad,2012,91000,Diesel,Automatic,First,11.0,153.0,FORD,ENDEAVOUR 3.0L 4X4 AT
Hyderabad,2014,74000,Diesel,Manual,First,22.0,73.0,VOLKSWAGEN,POLO DIESEL HIGHLINE 1.2L
Kochi,2018,55594,Diesel,Manual,First,18.0,100.0,MAHINDRA,TUV 300 2015-2019 MHAWK100 T8
Hyderabad,2013,58000,Diesel,Automatic,First,11.0,306.0,BMW,X6 XDRIVE 40D
Hyderabad,2012,110224,Diesel,Manual,First,19.0,108.0,RENAULT,DUSTER 110PS DIESEL RXZ
Ahmedabad,2010,21002,Petrol,Manual,First,22.0,67.0,MARUTI,WAGON R LXI
Pune,2017,121000,Diesel,Manual,First,24.0,88.0,MARUTI,ERTIGA SHVS VDI
Jaipur,2010,73513,Petrol,Manual,First,19.0,46.0,MARUTI,ALTO LXI BSIII
Jaipur,2015,34000,Petrol,Automatic,First,20.0,67.0,MARUTI,WAGON R AMT VXI OPTION
