,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,brand,model
582,2016,42362,Petrol,Manual,First,18.6,1197,81.83,5.0,6.15,HYUNDAI,I20 1.2 SPOTZ
583,2016,21000,Diesel,Automatic,First,17.05,1995,184,5.0,33.0,BMW,X1 SDRIVE 20D SPORTLINE
584,2012,15200,Diesel,Automatic,First,15.06,1995,177,5.0,13.5,BMW,X1 SDRIVE 20D EXCLUSIVE
585,2015,43690,Diesel,Automatic,First,12.55,2982,168.5,7.0,17.11,TOYOTA,FORTUNER 4X2 AT
586,2014,79926,Diesel,Automatic,First,11.33,4134,335.2,7.0,29.77,AUDI,Q7 4.2 TDI QUATTRO TECHNOLOGY
587,2013,53073,Diesel,Manual,First,20.77,1248,88.76,7.0,5.95,MARUTI,ERTIGA VDI
588,2015,59000,Petrol,Manual,First,18.5,1197,80,5.0,5.75,HYUNDAI,I20 1.2 MAGNA
589,2006,47088,Petrol,Automatic,Second,10.13,3498,364.9,5.0,19.0,MERCEDES-BENZ,S CLASS 2005 2013 S 350 L
590,2014,55000,Diesel,Manual,First,20.45,1461,83.8,5.0,4.75,RENAULT,DUSTER 85PS DIESEL RXL
591,2013,80430,Diesel,Manual,Second,17.21,1493,100,7.0,3.3,MAHINDRA,QUANTO C2
592,2013,71932,Diesel,Automatic,First,12.55,2982,168.5,7.0,16.5,TOYOTA,FORTUNER 4X2 AT
593,2014,19000,Diesel,Automatic,First,15.97,2993,258,7.0,44.0,BMW,X5 2014-2019 XDRIVE 30D DESIGN PURE EXPERIENCE 7 SEATER
594,2011,81759,Diesel,Manual,First,19.3,1248,73.9,5.0,4.39,MARUTI,SWIFT DZIRE VDI
595,2018,52010,Diesel,Manual,First,25.2,1248,74,5.0,6.2,MARUTI,SWIFT LDI OPTIONAL
596,2016,58953,Petrol,Automatic,First,13.53,1984,177.01,5.0,24.22,AUDI,A6 2011-2015 35 TFSI TECHNOLOGY
597,2008,93000,Diesel,Manual,Third,10.5,2835,107.2,6.0,5.45,MITSUBISHI,PAJERO 2.8 SFX BSIV DUAL TONE
598,2016,10000,Diesel,Automatic,First,16.36,2179,187.7,5.0,44.0,JAGUAR,XF 2.2 LITRE EXECUTIVE
599,2019,40674,Diesel,Automatic,First,11.36,2755,171.5,7.0,24.82,TOYOTA,INNOVA CRYSTA 2.8 ZX AT
600,2015,50000,Diesel,Automatic,First,19.3,1968,141,5.0,11.69,SKODA,OCTAVIA AMBITION 2.0 TDI AT
601,2018,1331,Petrol,Automatic,First,14.28,1798,138.03,5.0,20.0,TOYOTA,COROLLA ALTIS VL AT
602,2010,60000,Petrol,Manual,First,19.7,796,35,8.0,1.45,MARUTI,OMNI 8 SEATER BSII
603,2018,10003,Diesel,Automatic,First,17.9,2143,170,5.0,48.5,MERCEDES-BENZ,GLC 220D 4MATIC STYLE
604,2016,25000,Diesel,Automatic,First,21.5,1498,108.5,5.0,9.45,VOLKSWAGEN,VENTO 1.5 TDI HIGHLINE AT
605,2015,73000,Diesel,Manual,First,16.0,2179,140,7.0,12.5,MAHINDRA,XUV500 W10 2WD
606,2014,59962,Diesel,Manual,First,20.45,1461,83.8,5.0,6.9,NISSAN,TERRANO XL 85 PS
607,2012,72000,Diesel,Manual,Second,22.32,1582,126.32,5.0,5.8,HYUNDAI,VERNA 1.6 SX CRDI (O)
608,2016,20967,Diesel,Automatic,First,14.69,2993,258,5.0,44.56,BMW,5 SERIES 2013-2017 530D M SPORT
609,2015,35000,Diesel,Manual,Second,15.4,2179,120,7.0,8.5,MAHINDRA,SCORPIO S4 PLUS
610,2017,38056,Diesel,Manual,First,23.9,1582,126.2,5.0,10.7,HYUNDAI,VERNA 1.6 CRDI SX
611,2009,94000,Diesel,Automatic,Second,12.07,2967,241.4,7.0,12.0,AUDI,Q7 3.0 TDI QUATTRO PREMIUM PLUS
612,2010,64236,Petrol,Manual,First,14.7,1150,76,5.0,2.44,CHEVROLET,AVEO U-VA 1.2 LT
613,2000,124000,Diesel,Manual,First,13.6,2523,63,7.0,1.95,MAHINDRA,BOLERO ZLX BSIII
614,2014,7400,Petrol,Manual,First,19.1,1197,82,5.0,4.35,HYUNDAI,XCENT 1.2 KAPPA S
615,2017,52000,Diesel,Manual,First,13.68,2393,147.8,8.0,17.5,TOYOTA,INNOVA CRYSTA 2.4 GX MT 8S
616,2015,68764,Petrol,Manual,First,21.1,814,55.2,5.0,2.9,HYUNDAI,EON ERA PLUS
617,2013,64000,Diesel,Manual,First,22.07,1199,73.9,5.0,2.9,VOLKSWAGEN,POLO DIESEL COMFORTLINE 1.2L
618,2016,21558,Diesel,Manual,First,24.3,1248,88.5,5.0,8.9,MARUTI,VITARA BREZZA ZDI
619,2013,37500,Diesel,Automatic,First,18.88,1995,184,5.0,16.75,BMW,3 SERIES 320D PRESTIGE
620,2016,14077,Petrol,Manual,First,21.1,814,55.2,5.0,3.95,HYUNDAI,EON SPORTZ
621,2009,70000,Petrol,Manual,First,17.0,1497,118,5.0,2.1,HONDA,CITY 1.5 S MT
622,2011,54316,Petrol,Manual,Second,12.8,2354,177.6,5.0,4.29,HONDA,ACCORD 2.4 MT
623,2009,90764,Diesel,Manual,First,14.0,2498,112,8.0,3.85,MAHINDRA,XYLO E8
624,2009,137000,Diesel,Automatic,Second,13.2,1995,170,5.0,9.0,BMW,3 SERIES 320D
625,2013,127000,Petrol,Manual,Second,16.8,1497,116.3,5.0,4.5,HONDA,CITY V MT
626,2016,51884,Diesel,Manual,First,16.0,2179,140,7.0,12.46,MAHINDRA,XUV500 W10 2WD
627,2014,67407,Diesel,Manual,First,21.27,1396,88.76,5.0,4.65,HYUNDAI,I20 ASTA 1.4 CRDI
628,2014,107825,Diesel,Manual,First,13.0,2982,168.5,7.0,20.5,TOYOTA,FORTUNER 4X2 MANUAL
629,2006,82453,Diesel,Manual,First,13.6,2523,63,8.0,2.9,MAHINDRA,BOLERO DI BSII
630,2007,30441,Petrol,Manual,First,15.9,1298,85,5.0,1.45,MARUTI,ESTEEM VXI - BSIII
631,2002,70000,Petrol,Manual,Third,0.0,1086,,5.0,0.65,HYUNDAI,SANTRO LS ZIPPLUS
632,2016,11000,Diesel,Automatic,First,20.7,1496,113.98,5.0,29.5,MINI,COOPER 5 DOOR D
633,2015,61000,Diesel,Automatic,First,15.73,1968,174.33,5.0,25.0,AUDI,Q3 35 TDI QUATTRO PREMIUM
634,2013,48454,Petrol,Manual,Second,17.0,1197,80,5.0,3.5,HYUNDAI,I20 SPORTZ OPTION
635,2017,37000,Diesel,Manual,First,14.1,2179,154,7.0,11.25,TATA,SAFARI STORME VX VARICOR 400
636,2017,32249,Diesel,Manual,First,21.9,1498,98.6,7.0,10.79,HONDA,BR-V I-DTEC VX MT
637,2013,58000,Diesel,Manual,First,19.33,1968,138.03,5.0,5.9,VOLKSWAGEN,JETTA 2013-2015 2.0L TDI HIGHLINE
638,2017,28360,Petrol,Manual,First,19.1,1197,81.86,5.0,5.12,HYUNDAI,XCENT 1.2 KAPPA S OPTION
639,2017,7000,Petrol,Manual,First,20.89,1197,81.80,5.0,5.7,MARUTI,IGNIS 1.2 ALPHA
640,2016,19658,Diesel,Automatic,First,18.12,1995,190,5.0,35.84,BMW,5 SERIES 2013-2017 520D LUXURY LINE
641,2007,92000,Petrol,Manual,First,13.8,1299,70,5.0,1.25,FORD,IKON 1.3 CLXI
642,2013,25000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.65,HYUNDAI,I10 SPORTZ
643,2016,37882,Diesel,Manual,First,22.32,1582,126.3,5.0,9.19,HYUNDAI,VERNA 1.6 CRDI
644,2014,69330,Diesel,Automatic,First,16.07,1995,181,5.0,23.5,BMW,3 SERIES 320D HIGHLINE
645,2011,61000,Petrol,Automatic,First,12.3,1796,185,5.0,12.5,MERCEDES-BENZ,E-CLASS 2009-2013 E200 CGI BLUE EFFICIENCY
646,2010,35000,Petrol,Manual,Second,18.6,1199,79.4,5.0,1.5,CHEVROLET,BEAT OPTION PACK
647,2004,200000,Petrol,Manual,First,0.0,1086,,5.0,0.8,HYUNDAI,SANTRO XING XP
648,2009,82000,Diesel,Manual,Second,13.5,1405,,5.0,0.75,TATA,INDICA DLS
649,2012,72450,Diesel,Manual,First,15.1,2179,140,7.0,8.1,MAHINDRA,XUV500 W8 2WD
650,2017,36381,Diesel,Manual,First,28.09,1248,88.5,5.0,9.75,MARUTI,CIAZ ZDI PLUS SHVS
651,2017,25559,Diesel,Automatic,First,19.71,2143,201.15,5.0,37.93,MERCEDES-BENZ,NEW C-CLASS C 250 CDI AVANTGARDE
652,2005,100000,Petrol,Automatic,Third,16.4,1497,78,5.0,1.96,HONDA,CITY ZX CVT
653,2015,94000,Diesel,Automatic,First,11.5,2982,169,7.0,20.5,TOYOTA,FORTUNER 4X2 4 SPEED AT
654,2011,64357,Petrol,Manual,First,24.07,998,67.1,5.0,2.75,MARUTI,ALTO K10 VXI
655,2017,10501,Petrol,Automatic,First,9.43,1999,237.4,5.0,75.0,JAGUAR,XJ 2.0L PORTFOLIO
656,2009,47000,Diesel,Manual,First,21.9,1396,90,5.0,2.8,HYUNDAI,I20 1.4 MAGNA ABS
657,2017,18000,Petrol,Automatic,First,16.0,1497,117.3,7.0,9.25,HONDA,BRV I-VTEC V CVT
658,2007,89000,Petrol,Manual,First,13.4,1794,125,5.0,3.0,TOYOTA,COROLLA EXECUTIVE (HE)
659,2014,49964,Diesel,Automatic,First,17.68,1968,174.33,5.0,23.89,AUDI,A6 2011-2015 2.0 TDI PREMIUM PLUS
660,2014,35000,Diesel,Manual,First,12.99,2494,100.6,7.0,12.75,TOYOTA,INNOVA 2.5 ZX DIESEL 7 SEATER BSIII
661,2014,64000,Diesel,Manual,First,24.0,1120,70,5.0,4.15,HYUNDAI,GRAND I10 CRDI SPORTZ
662,2013,36000,Petrol,Automatic,First,14.8,1598,105,5.0,4.65,VOLKSWAGEN,VENTO IPL II PETROL HIGHLINE AT
663,2012,78600,Diesel,Manual,First,12.8,2494,102,7.0,8.9,TOYOTA,INNOVA 2.5 VX (DIESEL) 7 SEATER BS IV
664,2008,170000,Diesel,Manual,Second,16.8,1493,110,5.0,1.5,HYUNDAI,VERNA CRDI SX
665,2015,65000,Diesel,Manual,Second,23.2,1248,73.94,5.0,3.27,MARUTI,RITZ VDI
666,2008,120300,Diesel,Automatic,Second,12.07,2967,241.4,7.0,18.0,AUDI,Q7 3.0 TDI QUATTRO TECHNOLOGY
667,2016,21000,Petrol,Manual,First,18.6,1197,81.83,5.0,6.3,HYUNDAI,I20 ASTA OPTION 1.2
668,2017,18108,Diesel,Manual,First,24.3,1248,88.5,5.0,11.31,MARUTI,VITARA BREZZA ZDI PLUS DUAL TONE
669,2014,58407,Petrol,Manual,First,17.4,1497,117.3,5.0,6.16,HONDA,CITY I VTEC S
670,2014,49500,Petrol,Manual,First,20.73,1373,91.1,5.0,6.0,MARUTI,CIAZ ZXI
671,2013,37199,Petrol,Automatic,First,17.5,1498,99.6,5.0,5.43,NISSAN,SUNNY XV CVT
672,2012,62000,Diesel,Manual,First,22.07,1199,73.9,5.0,4.65,VOLKSWAGEN,POLO DIESEL HIGHLINE 1.2L
673,2015,59000,Diesel,Manual,First,20.77,1248,88.8,7.0,7.5,MARUTI,ERTIGA ZDI
674,2015,60000,Diesel,Manual,First,26.59,1248,74,5.0,6.25,MARUTI,SWIFT DZIRE VDI
675,2007,39037,Diesel,Automatic,First,14.84,2143,170,5.0,9.25,MERCEDES-BENZ,NEW C-CLASS C 220 CDI ELEGANCE AT
676,2013,17003,Petrol,Manual,First,19.4,1198,86.8,5.0,3.15,HONDA,BRIO S MT
677,2008,80400,Petrol,Manual,First,16.0,1086,66.7,5.0,2.3,HYUNDAI,I10 MAGNA OPTIONAL 1.1L
678,2012,75200,Diesel,Manual,First,22.32,1582,126.32,5.0,5.25,HYUNDAI,VERNA 1.6 SX CRDI (O)
679,2017,41217,Diesel,Manual,First,28.09,1248,88.5,5.0,7.4,MARUTI,CIAZ VDI SHVS
680,2006,98293,Petrol,Manual,Second,13.8,1299,70,5.0,1.55,FORD,IKON 1.3 FLAIR
681,2017,54000,Petrol,Manual,Second,16.2,1199,74,5.0,6.0,VOLKSWAGEN,POLO 1.2 MPI HIGHLINE
682,2016,17377,Petrol,Manual,First,18.7,1199,88.7,5.0,5.9,HONDA,JAZZ 1.2 V I VTEC
683,2013,33800,Diesel,Manual,Second,25.8,1498,98.6,5.0,4.7,HONDA,AMAZE EX I-DTECH
684,2015,86157,Diesel,Manual,First,22.54,1396,88.73,5.0,6.5,HYUNDAI,I20 ASTA 1.4 CRDI
685,2012,146824,Diesel,Manual,First,21.1,1248,73.9,5.0,3.55,MARUTI,RITZ VDI
686,2014,55000,Petrol,Manual,First,16.8,1497,116.3,5.0,7.1,HONDA,CITY V MT
687,2010,53293,Petrol,Manual,First,13.14,1798,160,5.0,6.0,SKODA,SUPERB 1.8 TSI MT
688,2017,38000,Diesel,Manual,First,24.3,1248,88.5,5.0,7.99,MARUTI,VITARA BREZZA LDI OPTION
689,2009,64000,Petrol,Manual,Second,17.0,1197,80,5.0,4.1,HYUNDAI,I20 ASTA
690,2017,25058,Petrol,Automatic,First,24.07,998,67.1,5.0,3.95,MARUTI,ALTO K10 VXI AGS
691,2016,36700,Petrol,Manual,First,21.1,814,55.2,5.0,4.38,HYUNDAI,EON ERA PLUS
692,2011,35000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.75,HYUNDAI,I10 SPORTZ
693,2016,22732,Petrol,Automatic,First,18.1,3498,306,2.0,55.54,MERCEDES-BENZ,SLK-CLASS SLK 350
694,2014,48000,Diesel,Automatic,First,18.53,1968,187.74,5.0,29.0,AUDI,A6 2.0 TDI DESIGN EDITION
695,2013,62084,Diesel,Manual,First,22.77,1498,98.59,5.0,6.6,FORD,ECOSPORT 1.5 TDCI TITANIUM
696,2012,39273,Diesel,Automatic,First,14.3,1968,140,5.0,6.99,VOLKSWAGEN,PASSAT HIGHLINE DSG
697,2017,64798,Diesel,Manual,First,13.68,2393,147.8,7.0,18.75,TOYOTA,INNOVA CRYSTA 2.4 ZX MT
698,2010,100002,Diesel,Manual,Third,20.0,1399,68,5.0,1.28,FORD,FIGO DIESEL ZXI
699,2006,78000,Petrol,Manual,Third,14.49,1399,92.7,5.0,1.2,CHEVROLET,AVEO 1.4
700,2013,57717,Petrol,Manual,First,18.5,1197,85.80,5.0,4.31,MARUTI,RITZ LXI
701,2011,109000,Diesel,Automatic,First,12.39,2179,147.51,5.0,16.5,LAND,ROVER FREELANDER 2 SE
702,2017,74515,Petrol,Manual,First,18.9,1197,82,5.0,5.64,HYUNDAI,GRAND I10 ASTA
703,2017,50484,Diesel,Automatic,First,10.91,3198,197.2,7.0,31.12,FORD,ENDEAVOUR 3.2 TREND AT 4X4
704,2013,13452,Diesel,Automatic,First,12.8,1968,167.6,5.0,25.46,AUDI,Q5 2008-2012 2.0 TDI
705,2017,37688,Petrol,Manual,First,17.01,1591,121.3,5.0,7.88,HYUNDAI,VERNA 1.6 VTVT
706,2017,34000,Diesel,Automatic,First,13.0,2143,204,5.0,36.0,MERCEDES-BENZ,E-CLASS 2015-2017 E250 CDI AVANTGARDE
707,2014,120000,Diesel,Automatic,First,0.0,2987,165,5.0,30.0,MERCEDES-BENZ,M-CLASS ML 350 4MATIC
708,2008,64000,Petrol,Manual,Second,17.5,1298,85.8,5.0,2.85,MARUTI,SWIFT DZIRE ZXI
709,2011,100000,Petrol,Manual,First,13.0,1343,90,5.0,3.5,HONDA,CITY 1.3 EXI S
710,2014,75000,Diesel,Manual,First,20.46,1461,83.8,5.0,7.5,RENAULT,DUSTER 85PS DIESEL RXL OPTIONAL
711,2012,86000,Diesel,Automatic,First,14.84,2143,170,5.0,19.0,MERCEDES-BENZ,NEW C-CLASS 220 CDI AT
712,2015,69000,Diesel,Automatic,First,15.97,2993,258,5.0,54.0,BMW,X5 XDRIVE 30D DESIGN PURE EXPERIENCE 5 SEATER
713,2015,41721,Petrol,Manual,First,19.1,1197,82,5.0,4.7,HYUNDAI,XCENT 1.2 KAPPA SX OPTION
714,2017,13000,Petrol,Automatic,First,22.0,1197,81.80,5.0,8.5,MARUTI,DZIRE AMT ZXI PLUS
715,2013,38998,Diesel,Automatic,First,16.07,1995,181,4.0,17.0,BMW,3 SERIES 320D CORPORATE EDITION
716,2017,54250,Petrol,Manual,First,22.74,796,47.3,5.0,3.51,MARUTI,ALTO 800 LXI
717,2013,45979,Diesel,Automatic,Second,17.11,1968,174.33,5.0,19.5,AUDI,A4 2.0 TDI 177 BHP PREMIUM PLUS
718,2012,37000,Petrol,Automatic,Second,13.6,1598,181,4.0,17.0,MINI,COOPER S
719,2015,46983,Diesel,Automatic,Second,12.07,2967,241.4,7.0,43.35,AUDI,Q7 3.0 TDI QUATTRO PREMIUM PLUS
720,2012,40700,Diesel,Manual,First,25.44,936,57.6,5.0,2.65,CHEVROLET,BEAT DIESEL LT
721,2015,43828,Petrol,Manual,First,20.51,998,67.04,5.0,3.52,MARUTI,WAGON R LXI BS IV
722,2016,53000,Diesel,Manual,First,19.01,1461,108.5,5.0,6.25,NISSAN,TERRANO XV PREMIUM 110 PS
723,2015,100000,Diesel,Automatic,First,18.88,1995,184,5.0,24.75,BMW,3 SERIES 320D LUXURY PLUS
724,2015,19000,Petrol,Manual,First,20.85,1197,83.14,5.0,5.25,MARUTI,SWIFT DZIRE VXI
725,2016,84000,Diesel,Manual,First,17.72,1968,108.5,5.0,11.0,SKODA,YETI ELEGANCE 4X2
726,2018,37630,Petrol,Automatic,First,15.63,1499,110.4,5.0,9.1,FORD,ECOSPORT 1.5 TI VCT AT TITANIUM
727,2010,67714,Petrol,Manual,First,18.5,1197,80,5.0,3.25,HYUNDAI,I20 1.2 MAGNA
728,2017,32000,Diesel,Manual,First,15.0,1248,88.5,5.0,8.5,MARUTI,S CROSS DDIS 200 SIGMA OPTION
729,2010,51000,Petrol,Manual,First,16.2,1599,103.2,5.0,3.1,HYUNDAI,VERNA TRANSFORM VTVT
730,2015,58390,Diesel,Automatic,First,18.88,1995,184,5.0,19.86,BMW,3 SERIES 320D LUXURY LINE
731,2017,14000,Diesel,Manual,First,24.0,1186,73.97,5.0,4.9,HYUNDAI,GRAND I10 1.2 CRDI MAGNA
732,2014,55818,Petrol,Manual,Second,17.4,1497,117.3,5.0,5.7,HONDA,CITY I-VTEC V
733,2006,97800,Petrol,Manual,Third,16.1,,,,1.75,MARUTI,SWIFT 1.3 VXI
734,2012,52241,Diesel,Manual,First,25.2,1248,74,5.0,2.9,MARUTI,SWIFT VDI BSIV
735,2018,25433,Diesel,Manual,First,27.39,1248,74,5.0,7.83,MARUTI,BALENO ZETA 1.3
736,2015,40611,Diesel,Manual,First,14.0,2179,138.1,7.0,8.15,TATA,SAFARI STORME 2012-2015 LX
737,2008,72000,Petrol,Manual,Second,13.2,1495,94,5.0,2.0,HYUNDAI,ACCENT GLS
738,2016,54631,Diesel,Manual,First,25.2,1248,74,5.0,6.25,MARUTI,SWIFT LDI SP LIMITED EDITION
739,2007,60000,Diesel,Manual,Second,17.8,1248,,5.0,3.4,MARUTI,SWIFT VDI BSIV
740,2016,24941,Petrol,Automatic,First,21.9,624,37.48,4.0,3.19,TATA,NANO XTA
741,2017,63939,Diesel,Manual,First,25.47,1248,88.50,7.0,7.75,MARUTI,ERTIGA VDI
742,2014,35214,Petrol,Automatic,Second,23.1,998,67.04,5.0,3.2,MARUTI,CELERIO VXI AMT
743,2015,63000,Diesel,Manual,First,25.2,1248,74,5.0,4.9,MARUTI,SWIFT VDI BSIV
744,2012,121377,Petrol,Manual,First,15.04,1598,103.6,5.0,3.8,VOLKSWAGEN,VENTO PETROL HIGHLINE
745,2009,100970,Diesel,Automatic,First,15.5,1896,105,5.0,4.0,VOLKSWAGEN,JETTA 2007-2011 1.9 HIGHLINE TDI
746,2014,60000,Diesel,Automatic,Second,20.7,1496,113.98,5.0,23.5,MINI,COOPER 5 DOOR D
747,2008,77650,Diesel,Manual,First,17.2,1396,53.5,5.0,1.15,TATA,INDICA V2 DLS
748,2007,71297,Petrol,Manual,First,17.0,1086,,5.0,2.2,HYUNDAI,SANTRO XING XO
749,2008,55001,Diesel,Automatic,Second,0.0,,,,26.5,LAND,ROVER RANGE ROVER 3.0 D
750,2015,18955,Petrol,Automatic,First,18.0,1497,117.3,5.0,10.65,HONDA,CITY I-VTEC CVT VX
751,2016,47877,Diesel,Automatic,First,16.36,2179,187.7,5.0,35.68,JAGUAR,XF 2.2 LITRE LUXURY
752,2017,43368,Diesel,Automatic,First,15.0,2143,204,5.0,31.94,MERCEDES-BENZ,E-CLASS 2015-2017 E250 EDITION E
753,2011,73000,Diesel,Manual,Third,18.3,1991,147.9,5.0,4.2,CHEVROLET,CRUZE LTZ
754,2015,72007,Diesel,Manual,First,15.1,2179,140,7.0,9.9,MAHINDRA,XUV500 W8 2WD
755,2014,56778,Petrol,Automatic,First,11.74,1796,186,5.0,15.46,MERCEDES-BENZ,NEW C-CLASS C 200 CGI AVANTGARDE
756,2018,20024,Petrol,Manual,First,18.2,1199,88.7,5.0,8.46,HONDA,JAZZ VX
757,2013,42103,Petrol,Manual,First,16.78,1496,88.73,5.0,3.25,TOYOTA,ETIOS G
758,2012,67147,Petrol,Manual,First,19.7,796,46.3,5.0,2.6,MARUTI,ALTO LXI BSIII
759,2016,37806,Petrol,Manual,First,20.4,1197,81.80,5.0,5.2,MARUTI,SWIFT VXI BSIV
760,2009,85000,Petrol,Manual,Third,19.0,998,66.1,5.0,1.8,MARUTI,A-STAR VXI
761,2011,35000,Petrol,Manual,First,25.4,624,37.48,4.0,1.6,TATA,NANO LX BSIV
762,2015,72035,Diesel,Manual,First,25.5,1498,99,5.0,2.5,FORD,FIGO TITANIUM DIESEL
763,2011,48500,Petrol,Manual,First,16.0,1368,90,5.0,2.5,FIAT,LINEA EMOTION
764,2017,28854,Petrol,Manual,First,18.16,1196,86.8,5.0,6.7,FORD,FIGO ASPIRE 1.2 TI-VCT TREND
765,2005,92450,Petrol,Manual,First,15.4,1590,94,5.0,1.2,MARUTI,BALENO LXI
766,2016,14351,Diesel,Automatic,First,18.88,1995,184,5.0,35.55,BMW,3 SERIES 320D LUXURY LINE
767,2017,51087,Diesel,Manual,First,17.9,1998,163.7,5.0,7.75,CHEVROLET,CRUZE LTZ
768,2005,50000,Diesel,Manual,First,12.7,2609,116.6,8.0,1.94,MAHINDRA,SCORPIO 2.6 DX
769,2016,73000,Diesel,Manual,First,25.0,1396,69,5.0,2.2,TATA,INDICA V2 ELS
770,2011,60000,Diesel,Automatic,First,18.1,1991,147.9,4.0,3.8,CHEVROLET,CRUZE LTZ AT
771,2016,50000,Diesel,Manual,First,12.8,2494,102,8.0,15.65,TOYOTA,INNOVA 2.5 V DIESEL 8-SEATER
772,2018,36797,Diesel,Automatic,First,19.27,2143,167.62,5.0,39.47,MERCEDES-BENZ,NEW C-CLASS C 220D AVANTGARDE EDITION C
773,2011,50000,Petrol,Manual,Second,18.5,1197,85.80,5.0,1.5,MARUTI,RITZ VXI
774,2013,94000,Diesel,Manual,First,12.8,2494,102,8.0,8.85,TOYOTA,INNOVA 2.5 GX (DIESEL) 8 SEATER BS IV
775,2013,74000,Diesel,Manual,Second,12.55,2982,168.5,7.0,17.9,TOYOTA,FORTUNER 4X4 MT
776,2014,41016,Petrol,Automatic,Second,16.95,1197,78.9,5.0,5.08,HYUNDAI,I10 SPORTZ AT
777,2012,67000,Diesel,Manual,First,22.32,1582,126.32,5.0,6.25,HYUNDAI,VERNA 1.6 SX
778,2015,76927,Diesel,Automatic,First,15.73,1968,174.33,5.0,22.75,AUDI,Q3 2012-2015 35 TDI QUATTRO PREMIUM PLUS
779,2010,17088,Petrol,Manual,First,18.6,1199,79.4,5.0,1.46,CHEVROLET,BEAT LS
780,2007,112808,Diesel,Manual,Second,17.8,1399,68,5.0,2.05,FORD,FIESTA 1.4 DURATORQ ZXI
781,2014,74980,Diesel,Manual,First,20.0,1399,68,5.0,4.08,FORD,FIGO DIESEL EXI
782,2014,44600,Petrol,Automatic,First,23.1,998,67.04,5.0,4.55,MARUTI,CELERIO VXI AT
783,2013,37000,Diesel,Automatic,First,20.0,2143,107.3,5.0,14.0,MERCEDES-BENZ,A CLASS A180 CDI
784,2016,21000,Petrol,Manual,First,15.8,1591,121.3,5.0,10.9,HYUNDAI,CRETA 1.6 SX
785,2010,81245,Petrol,Manual,First,18.9,998,67.1,5.0,2.45,MARUTI,WAGON R VXI BS IV
786,2013,70000,Diesel,Automatic,First,10.0,2148,170,5.0,15.8,MERCEDES-BENZ,E-CLASS 2009-2013 E 220 CDI AVANTGARDE
787,2017,4018,Petrol,Manual,First,18.88,1499,110.4,5.0,8.25,FORD,ECOSPORT 1.5 TI VCT MT TITANIUM BE
788,2013,70000,Diesel,Automatic,Second,13.73,1995,148,5.0,8.5,RENAULT,KOLEOS 2.0 DIESEL
789,2016,56532,Diesel,Manual,First,16.0,2179,140,7.0,15.54,MAHINDRA,XUV500 W10 2WD
790,2013,26875,Petrol,Manual,First,16.8,796,34.2,8.0,2.35,MARUTI,OMNI E 8 STR STD
791,2015,72599,Petrol,Manual,First,22.5,998,67.04,5.0,4.32,MARUTI,WAGON R VXI
792,2008,205000,Diesel,Manual,Second,13.1,2499,141,7.0,3.9,FORD,ENDEAVOUR XLT TDCI 4X2
793,2011,98000,Diesel,Manual,Second,22.32,1582,126.32,5.0,5.2,HYUNDAI,VERNA 1.6 SX
794,2018,19500,Petrol,Manual,First,18.6,1197,81.83,5.0,5.85,HYUNDAI,I20 MAGNA 1.2
795,2013,68000,Petrol,Manual,Second,16.02,1373,93.7,7.0,6.25,MARUTI,ERTIGA ZXI
796,2019,19654,Diesel,Automatic,First,14.0,2179,155,7.0,17.63,MAHINDRA,XUV500 W9 AT
797,2017,26000,Diesel,Manual,First,23.65,1248,88.5,5.0,9.75,MARUTI,SX4 S CROSS DDIS 200 ZETA
798,2015,10000,Petrol,Automatic,First,18.1,3498,306,2.0,55.0,MERCEDES-BENZ,SLK-CLASS SLK 350
799,2011,75020,Diesel,Manual,First,22.07,1199,73.9,5.0,4.1,VOLKSWAGEN,POLO DIESEL COMFORTLINE 1.2L
800,2011,157000,Diesel,Manual,First,12.55,2982,168.5,7.0,11.99,TOYOTA,FORTUNER 4X4 MT
801,2017,43773,Diesel,Manual,First,16.0,2179,140,7.0,13.54,MAHINDRA,XUV500 W10 2WD
802,2016,21000,Diesel,Automatic,First,17.9,2143,201.15,5.0,56.0,MERCEDES-BENZ,GLE 250D
803,2016,23280,Petrol,Manual,First,18.7,1199,88.7,5.0,6.5,HONDA,JAZZ 1.2 VX I VTEC
804,2013,88000,Diesel,Manual,First,23.4,1248,74,5.0,4.75,MARUTI,SWIFT DZIRE VDI
805,2014,67000,Petrol,Manual,First,17.01,1591,121.3,5.0,5.6,HYUNDAI,VERNA 1.6 SX VTVT
806,2017,59636,Diesel,Automatic,First,10.91,3198,197,7.0,29.2,FORD,ENDEAVOUR 3.2 TITANIUM AT 4X4
807,2018,11000,Petrol,Manual,First,18.6,1197,81.83,5.0,6.35,HYUNDAI,I20 1.2 ASTA OPTION
808,2013,60669,Petrol,Manual,First,16.8,1497,116.3,5.0,4.95,HONDA,CITY 1.5 V MT SUNROOF
809,2018,12000,Diesel,Manual,First,27.4,1498,98.6,5.0,8.5,HONDA,AMAZE VX DIESEL
810,2013,35000,Petrol,Manual,First,17.1,1591,121.3,5.0,4.5,HYUNDAI,VERNA 1.6 SX VTVT (O)
811,2015,65000,Diesel,Manual,First,24.2,1498,98.6,7.0,5.5,HONDA,MOBILIO S I DTEC
