,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Power,Price,brand,model,Engine 
1553,2014,72465,Petrol,Manual,First,16.47,16.47,5.9,VOLKSWAGEN,POLO 1.2,1198.0
1554,2012,68776,Petrol,Manual,First,21.1,21.1,3.9,MARUTI,RITZ VXI,1197.0
1555,2005,150000,Petrol,Manual,First,14.7,14.7,1.5,CHEVROLET,OPTRA 1.6,1598.0
1556,2012,68000,Diesel,Manual,First,12.8,12.8,6.95,TOYOTA,INNOVA 2.5,2494.0
1557,2015,33000,Diesel,Manual,First,26.0,26.0,7.0,HONDA,CITY I,1498.0
1558,2017,22389,Petrol,Manual,First,17.0,17.0,7.23,VOLKSWAGEN,AMEO 1.2,1198.0
1559,2012,90000,Diesel,Manual,First,21.5,21.5,3.81,MARUTI,SX4 ZDI,1248.0
1560,2012,42000,Petrol,Manual,Third,18.6,18.6,4.5,MARUTI,SWIFT ZXI,1197.0
1561,2017,38767,Diesel,Manual,First,19.67,19.67,12.6,HYUNDAI,CRETA 1.6,1582.0
1562,2015,21000,Diesel,Automatic,First,12.07,12.07,48.0,AUDI,Q7 35,2967.0
1563,2010,59136,Petrol,Manual,First,19.7,19.7,2.96,MARUTI,ALTO LXI,796.0
1564,2014,36000,Diesel,Manual,First,25.8,25.8,3.25,HONDA,AMAZE SX,1498.0
1565,2011,95000,Diesel,Automatic,Second,18.33,18.33,8.5,VOLKSWAGEN,PASSAT DIESEL,1968.0
1566,2013,51000,Diesel,Automatic,First,19.5,19.5,8.75,HYUNDAI,ELANTRA CRDI,1582.0
1567,2011,36411,Petrol,Manual,First,18.9,18.9,3.08,MARUTI,WAGON R,998.0
1568,2017,40000,Diesel,Automatic,First,12.81,12.81,41.5,LAND,ROVER DISCOVERY,1999.0
1569,2016,27300,Petrol,Manual,First,17.8,17.8,7.0,HONDA,CITY I,1497.0
1570,2011,29813,Petrol,Automatic,Second,14.74,14.74,11.5,MERCEDES-BENZ,NEW C-CLASS,1991.0
1571,2011,71000,Petrol,Manual,First,20.51,20.51,2.6,MARUTI,WAGON R,998.0
1572,2014,32000,Diesel,Manual,First,22.32,22.32,4.3,HYUNDAI,VERNA 1.6,1582.0
1573,2017,19234,CNG,Manual,First,17.5,17.5,8.35,MARUTI,ERTIGA VXI,1373.0
1574,2017,50510,Diesel,Automatic,First,17.06,17.06,24.9,VOLKSWAGEN,TIGUAN 2.0,1968.0
1575,2011,102000,Diesel,Automatic,First,15.06,15.06,13.75,BMW,X1 SDRIVE,1995.0
1576,2014,42277,Diesel,Manual,First,24.0,24.0,3.85,HYUNDAI,GRAND I10,1186.0
1577,2014,46000,Diesel,Automatic,First,13.0,13.0,23.25,MERCEDES-BENZ,E-CLASS E250,2143.0
1578,2012,35000,Diesel,Manual,First,13.6,13.6,7.0,MAHINDRA,BOLERO ZLX,2523.0
1579,2015,50000,Petrol,Manual,First,18.9,18.9,5.75,HYUNDAI,GRAND I10,1197.0
1580,2008,62000,Petrol,Manual,Second,20.36,20.36,1.65,HYUNDAI,I10 MAGNA,1197.0
1581,2012,78000,Diesel,Manual,First,19.33,19.33,6.5,VOLKSWAGEN,JETTA 2012-2014,1968.0
1582,2011,79000,Diesel,Manual,First,17.67,17.67,7.5,SKODA,YETI ELEGANCE,1968.0
1583,2019,6773,Diesel,Automatic,First,14.75,14.75,72.94,AUDI,Q7 45,2967.0
1584,2010,135000,Diesel,Manual,Second,11.5,11.5,11.0,TOYOTA,FORTUNER 3.0,2982.0
1585,2013,36716,Petrol,Manual,First,18.9,18.9,3.02,MARUTI,WAGON R,1061.0
1586,2013,65060,Petrol,Manual,First,21.1,21.1,3.32,HYUNDAI,EON ERA,814.0
1587,2013,33000,Petrol,Manual,First,19.4,19.4,3.24,HONDA,BRIO S,1198.0
1588,2015,11110,Petrol,Manual,First,22.74,22.74,2.35,MARUTI,ALTO 800,796.0
1589,2013,63000,Diesel,Manual,First,15.96,15.96,5.5,MAHINDRA,BOLERO ZLX,2523.0
1590,2015,27030,Petrol,Manual,First,17.8,17.8,6.75,HONDA,CITY I,1497.0
1591,2015,19600,Petrol,Manual,First,15.0,15.0,6.15,SKODA,RAPID 1.6,1598.0
1592,2016,27755,Petrol,Manual,First,22.0,22.0,5.45,MARUTI,SWIFT VVT,1197.0
1593,2013,20000,Petrol,Manual,Second,21.1,21.1,2.3,HYUNDAI,EON MAGNA,814.0
1594,2015,24782,Petrol,Manual,First,20.85,20.85,6.21,MARUTI,SWIFT DZIRE,1197.0
1595,2014,47303,Petrol,Automatic,First,19.34,19.34,5.21,NISSAN,MICRA XV,1198.0
1596,2008,71000,Petrol,Automatic,First,8.3,8.3,11.99,AUDI,Q7 4.2,4134.0
1597,2010,135000,Diesel,Manual,First,17.8,17.8,3.1,MARUTI,SWIFT VDI,1248.0
1598,2017,1000,Diesel,Manual,First,13.49,13.49,7.5,TATA,XENON XT,2179.0
1599,2016,29000,Diesel,Manual,First,20.14,20.14,4.0,VOLKSWAGEN,POLO 1.5,1498.0
1600,2016,36367,Petrol,Manual,First,17.8,17.8,7.73,HONDA,CITY I,1497.0
1601,2015,38000,Petrol,Manual,First,17.4,17.4,7.8,HONDA,CITY I,1497.0
1602,2011,83969,Petrol,Manual,First,16.1,16.1,1.3,MARUTI,800 AC,796.0
1603,2014,82621,Diesel,Manual,First,20.14,20.14,4.42,VOLKSWAGEN,POLO 1.5,1498.0
1604,2009,89000,Diesel,Automatic,First,12.5,12.5,4.0,CHEVROLET,CAPTIVA LTZ,1991.0
1605,2016,54000,Diesel,Manual,First,16.0,16.0,13.0,MAHINDRA,XUV500 W10,2179.0
1606,2015,61691,Diesel,Manual,First,25.8,25.8,5.38,HONDA,AMAZE VX,1498.0
1607,2011,32200,Petrol,Manual,Second,17.0,17.0,3.25,HYUNDAI,I20 1.2,1197.0
1608,2016,68630,Petrol,Automatic,First,20.51,20.51,3.87,MARUTI,WAGON R,998.0
1609,2014,61000,Diesel,Automatic,Second,16.96,16.96,8.25,VOLKSWAGEN,JETTA 2013-2015,1968.0
1610,2018,32644,Petrol,Manual,First,20.73,20.73,9.28,MARUTI,CIAZ 1.4,1373.0
1611,2012,85000,Diesel,Automatic,First,11.79,11.79,6.25,MAHINDRA,SCORPIO 2009-2014,2179.0
1612,2008,75000,Petrol,Manual,Second,15.26,15.26,1.15,CHEVROLET,AVEO U-VA,1150.0
1613,2016,40347,Petrol,Manual,First,20.73,20.73,7.8,MARUTI,CIAZ ZXI,1373.0
1614,2012,60788,Diesel,Manual,First,23.0,23.0,4.5,HYUNDAI,I20 1.4,1396.0
1615,2018,18664,Petrol,Manual,First,18.7,18.7,7.56,HONDA,JAZZ 1.2,1199.0
1616,2017,57847,Diesel,Manual,First,16.0,16.0,16.08,MAHINDRA,XUV500 W10,2179.0
1617,2012,52237,Petrol,Manual,First,17.0,17.0,4.5,HYUNDAI,I20 1.2,1197.0
1618,2012,128000,Diesel,Manual,First,22.32,22.32,5.0,HYUNDAI,VERNA 1.6,1582.0
1619,2011,54000,Petrol,Manual,First,19.81,19.81,2.2,HYUNDAI,I10 ERA,1086.0
1620,2014,49800,Petrol,Automatic,First,23.1,23.1,4.0,MARUTI,CELERIO VXI,998.0
1621,2012,98000,Diesel,Manual,First,20.86,20.86,2.51,SKODA,FABIA 1.2,1199.0
1622,2015,60095,Diesel,Manual,First,25.2,25.2,4.75,MARUTI,SWIFT VDI,1248.0
1623,2008,68000,Petrol,Manual,Second,16.0,16.0,2.0,HYUNDAI,I10 MAGNA(O),1086.0
1624,2010,81402,Petrol,Manual,Second,20.36,20.36,2.1,HYUNDAI,I10 MAGNA,1197.0
1625,2013,38000,Petrol,Automatic,First,16.5,16.5,6.25,FORD,ECOSPORT 1.5,1499.0
1626,2011,92239,Diesel,Automatic,Second,11.5,11.5,10.6,MERCEDES-BENZ,E-CLASS 2009-2013,2987.0
1627,2017,49224,Diesel,Manual,First,25.2,25.2,6.0,MARUTI,SWIFT VDI,1248.0
1628,2004,12000,Petrol,Manual,Second,16.1,16.1,0.45,MARUTI,800 STD,796.0
1629,2010,54898,Petrol,Manual,Third,16.1,16.1,2.5,MARUTI,SWIFT LXI,1298.0
1630,2018,2500,Petrol,Manual,First,15.29,15.29,12.75,HYUNDAI,CRETA 1.6,1591.0
1631,2017,32838,Diesel,Automatic,First,17.05,17.05,30.29,BMW,X1 M,1995.0
1632,2006,27076,Petrol,Manual,First,13.8,13.8,1.6,FORD,IKON 1.3,1299.0
1633,2017,75445,Diesel,Manual,First,22.7,22.7,7.54,FORD,ECOSPORT 1.5,1498.0
1634,2015,46601,Petrol,Manual,First,20.73,20.73,6.84,MARUTI,CIAZ VXI,1373.0
1635,2012,72000,Diesel,Automatic,First,18.33,18.33,6.0,VOLKSWAGEN,PASSAT DIESEL,1968.0
1636,2017,27000,Diesel,Manual,First,27.3,27.3,8.0,HONDA,JAZZ 1.5,1498.0
1637,2016,68193,Diesel,Automatic,First,17.11,17.11,24.74,AUDI,A4 35,1968.0
1638,2017,34429,Diesel,Manual,First,24.0,24.0,5.5,HYUNDAI,GRAND I10,1120.0
1639,2013,46000,Diesel,Automatic,First,12.0,12.0,36.0,MERCEDES-BENZ,GL-CLASS 2007,2987.0
1640,2013,80544,Diesel,Manual,First,12.99,12.99,11.79,TOYOTA,INNOVA 2.5,2494.0
1641,2011,42000,Petrol,Manual,Second,16.95,16.95,3.0,NISSAN,SUNNY 2011-2014,1498.0
1642,2011,94821,Diesel,Automatic,Second,20.0,20.0,6.75,SKODA,LAURA AMBIENTE,1968.0
1643,2006,100000,Petrol,Manual,First,14.49,14.49,1.4,CHEVROLET,AVEO 1.4,1399.0
1644,2014,57000,Diesel,Manual,First,24.2,24.2,5.75,HONDA,MOBILIO V,1498.0
1645,2010,79894,Diesel,Manual,First,21.1,21.1,3.4,MARUTI,RITZ VDI,1248.0
1646,2011,44748,Petrol,Manual,Second,16.47,16.47,4.89,VOLKSWAGEN,POLO PETROL,1198.0
1647,2013,31000,Petrol,Manual,First,13.24,13.24,4.95,NISSAN,TERRANO XL,1598.0
1648,2013,60587,Petrol,Automatic,Second,16.98,16.98,3.49,MARUTI,A-STAR AT,998.0
1649,2011,32000,Diesel,Manual,First,23.59,23.59,3.85,TOYOTA,ETIOS LIVA,1364.0
1650,2014,43772,Petrol,Manual,First,17.0,17.0,6.35,HONDA,CITY 1.5,1497.0
1651,2017,23576,Petrol,Automatic,First,18.9,18.9,7.08,HYUNDAI,GRAND I10,1197.0
1652,2017,4000,Diesel,Automatic,First,13.6,13.6,38.0,JAGUAR,XE 2.0L,1999.0
1653,2012,62000,Diesel,Manual,First,12.05,12.05,6.25,MAHINDRA,SCORPIO VLX,2179.0
1654,2011,36000,Petrol,Automatic,First,11.74,11.74,10.15,MERCEDES-BENZ,NEW C-CLASS,1796.0
1655,2014,80000,Petrol,Automatic,First,13.7,13.7,10.75,SKODA,SUPERB ELEGANCE,1798.0
1656,2012,137008,Diesel,Automatic,First,18.1,18.1,4.65,CHEVROLET,CRUZE LTZ,1991.0
1657,2010,61001,Diesel,Manual,First,12.05,12.05,4.75,MAHINDRA,SCORPIO VLX,2179.0
1658,2015,52191,Petrol,Manual,First,17.1,17.1,7.78,HYUNDAI,VERNA 1.6,1591.0
1659,2016,77076,Diesel,Manual,First,23.0,23.0,6.75,HYUNDAI,I20 1.4,1396.0
1660,2008,56000,Petrol,Automatic,First,16.4,16.4,2.99,HONDA,CITY ZX,1497.0
1661,2013,21000,Petrol,Manual,First,20.36,20.36,2.35,HYUNDAI,I10 MAGNA,1197.0
1662,2013,89429,Diesel,Manual,First,25.8,25.8,3.65,HONDA,AMAZE S,1498.0
1663,2012,45631,Petrol,Manual,Second,22.5,22.5,2.74,MARUTI,WAGON R,998.0
1664,2013,53959,Petrol,Manual,First,19.4,19.4,3.5,HONDA,BRIO S,1198.0
1665,2014,55804,Petrol,Manual,First,17.0,17.0,4.76,HYUNDAI,I20 1.2,1197.0
1666,2016,25899,Petrol,Manual,First,15.04,15.04,6.2,VOLKSWAGEN,VENTO 2013-2015,1598.0
1667,2008,82000,Diesel,Manual,Second,18.7,18.7,2.35,SKODA,OCTAVIA RIDER,1896.0
1668,2014,52000,Diesel,Automatic,First,13.0,13.0,24.5,MERCEDES-BENZ,E-CLASS 2015-2017,2143.0
1669,2013,20000,Petrol,Manual,First,13.24,13.24,6.0,RENAULT,DUSTER PETROL,1598.0
1670,2017,31829,Petrol,Manual,First,21.1,21.1,3.65,HYUNDAI,EON SPORTZ,814.0
1671,2016,18094,Petrol,Manual,Second,18.6,18.6,6.26,MARUTI,SWIFT VXI,1197.0
1672,2011,80000,Diesel,Manual,Second,19.5,19.5,2.1,NISSAN,MICRA DIESEL,1461.0
1673,2015,11964,Diesel,Automatic,First,13.22,13.22,32.95,AUDI,Q5 3.0,2967.0
1674,2018,22684,Petrol,Manual,First,18.6,18.6,7.8,HYUNDAI,I20 1.2,1197.0
1675,2014,43521,Petrol,Manual,First,19.4,19.4,4.25,HONDA,BRIO S,1198.0
1676,2014,49386,Petrol,Manual,First,17.5,17.5,4.86,MARUTI,SWIFT DZIRE,1298.0
1677,2017,12248,Petrol,Manual,First,18.9,18.9,4.9,HYUNDAI,GRAND I10,1197.0
1678,2014,67771,Diesel,Manual,First,11.68,11.68,7.06,MAHINDRA,XYLO E8,2498.0
1679,2015,60007,Petrol,Automatic,First,17.21,17.21,4.5,VOLKSWAGEN,POLO GTI,1798.0
1680,2011,48624,Petrol,Manual,First,24.07,24.07,3.22,MARUTI,ALTO K10,998.0
1681,2014,30000,Diesel,Manual,First,22.07,22.07,3.25,VOLKSWAGEN,POLO DIESEL,1199.0
1682,2016,81605,Petrol,Manual,First,18.9,18.9,4.53,HYUNDAI,GRAND I10,1197.0
1683,2017,32642,Diesel,Automatic,First,14.84,14.84,34.78,MERCEDES-BENZ,NEW C-CLASS,2143.0
1684,2014,34200,Petrol,Automatic,First,15.74,15.74,6.5,HYUNDAI,VERNA 1.6,1591.0
1685,2010,72204,Petrol,Manual,First,15.7,15.7,2.25,FIAT,PUNTO EVO,1172.0
1686,2011,156347,Diesel,Manual,Second,12.99,12.99,8.0,TOYOTA,INNOVA 2.5,2494.0
1687,2017,47357,Diesel,Automatic,First,18.49,18.49,8.37,MAHINDRA,TUV 300,1493.0
1688,2015,61738,Diesel,Manual,First,20.14,20.14,5.39,VOLKSWAGEN,POLO 1.5,1498.0
1689,2018,32586,Diesel,Automatic,First,22.48,22.48,37.3,BMW,5 SERIES,1995.0
1690,2018,40129,Diesel,Automatic,First,11.57,11.57,70.8,MERCEDES-BENZ,GLE 350D,2987.0
1691,2012,51000,Diesel,Automatic,First,11.74,11.74,22.25,MERCEDES-BENZ,M-CLASS ML,2987.0
1692,2018,10393,Petrol,Manual,First,18.9,18.9,6.03,HYUNDAI,GRAND I10,1197.0
1693,2011,46000,Petrol,Automatic,First,13.7,13.7,4.9,SKODA,SUPERB ELEGANCE,1798.0
1694,2013,21000,Petrol,Automatic,First,16.95,16.95,3.96,HYUNDAI,I10 SPORTZ,1197.0
1695,2011,113562,Diesel,Manual,First,23.0,23.0,4.6,HYUNDAI,I20 1.4,1396.0
1696,2011,100010,Diesel,Manual,Second,12.05,12.05,5.5,MAHINDRA,SCORPIO VLX,2179.0
1697,2013,63107,Petrol,Manual,First,19.4,19.4,3.25,HONDA,BRIO V,1198.0
1698,2017,58500,Petrol,Manual,First,18.6,18.6,6.25,HYUNDAI,I20 1.2,1197.0
1699,2007,90000,Diesel,Manual,Fourth & Above,10.9,10.9,3.0,FORD,ENDEAVOUR 4X2,2499.0
1700,2011,108242,Diesel,Manual,First,16.8,16.8,4.25,HYUNDAI,VERNA CRDI,1493.0
1701,2011,146300,Diesel,Manual,First,11.5,11.5,12.25,TOYOTA,FORTUNER 3.0,2982.0
1702,2011,62943,Diesel,Automatic,Second,17.05,17.05,10.95,BMW,X1 SDRIVE20D,1995.0
1703,2013,65000,Diesel,Automatic,First,12.55,12.55,16.5,TOYOTA,FORTUNER 4X2,2982.0
1704,2018,1700,Petrol,Automatic,First,19.0,19.0,7.8,HONDA,AMAZE V,1199.0
1705,2013,34697,Petrol,Manual,First,19.81,19.81,3.7,HYUNDAI,I10 ERA,1086.0
1706,2012,58000,Petrol,Manual,First,17.0,17.0,4.0,HYUNDAI,I20 1.2,1197.0
1707,2015,32500,Diesel,Automatic,First,19.59,19.59,26.75,BMW,3 SERIES,1995.0
1708,2016,58661,Diesel,Automatic,First,15.17,15.17,28.03,AUDI,Q3 35,1968.0
1709,2017,37124,Petrol,Manual,First,20.4,20.4,5.44,MARUTI,SWIFT VXI,1197.0
1710,2017,44000,Petrol,Automatic,First,21.4,21.4,6.2,MARUTI,BALENO DELTA,1197.0
1711,2005,45200,Petrol,Manual,First,13.2,13.2,0.9,HYUNDAI,ACCENT GLE,1495.0
1712,2016,11000,Petrol,Manual,First,18.5,18.5,3.95,MARUTI,RITZ LXI,1197.0
1713,2011,65000,Petrol,Manual,Second,26.0,26.0,0.44,TATA,NANO LX,624.0
1714,2012,55005,Diesel,Manual,First,20.0,20.0,2.75,FORD,FIGO DIESEL,1399.0
1715,2011,81650,Diesel,Automatic,First,18.33,18.33,7.5,VOLKSWAGEN,PASSAT DIESEL,1968.0
1716,2010,160000,Diesel,Manual,Second,19.0,19.0,2.5,FIAT,LINEA EMOTION,1248.0
1717,2015,169000,Diesel,Manual,First,14.95,14.95,5.0,MAHINDRA,XYLO D4,2489.0
1718,2013,67263,Petrol,Manual,First,18.9,18.9,3.6,MARUTI,WAGON R,998.0
1719,2012,44223,Petrol,Manual,First,17.6,17.6,3.99,TOYOTA,ETIOS G,1496.0
1720,2015,36840,Petrol,Manual,First,18.9,18.9,5.64,HYUNDAI,GRAND I10,1197.0
1721,2014,160000,Diesel,Manual,First,12.99,12.99,12.0,TOYOTA,INNOVA 2.5,2494.0
1722,2008,133000,Diesel,Manual,First,16.8,16.8,0.7,TATA,INDICA V2,1405.0
1723,2015,69123,Diesel,Automatic,First,18.88,18.88,19.0,BMW,3 SERIES,1995.0
1724,2017,38000,Diesel,Automatic,First,10.91,10.91,30.48,FORD,ENDEAVOUR 3.2,3198.0
1725,2017,5500,Petrol,Manual,First,21.56,21.56,8.2,MARUTI,CIAZ ZETA,1462.0
1726,2015,1001,Diesel,Manual,First,25.83,25.83,7.55,FORD,FIGO 1.5D,1498.0
1727,2007,59000,Petrol,Manual,Third,15.26,15.26,0.99,CHEVROLET,AVEO U-VA,1150.0
1728,2011,78256,Petrol,Automatic,First,16.8,16.8,4.15,HONDA,CITY 1.5,1497.0
1729,2016,90000,Petrol,Manual,First,16.95,16.95,6.2,NISSAN,SUNNY XL,1498.0
1730,2016,18000,Petrol,Manual,First,19.1,19.1,4.4,MARUTI,SWIFT DZIRE,1197.0
1731,2012,60000,Diesel,Manual,First,20.0,20.0,2.1,FORD,FIGO DIESEL,1399.0
1732,2011,130000,Diesel,Manual,First,20.3,20.3,2.2,FIAT,GRANDE PUNTO,1248.0
1733,2018,32851,Petrol,Manual,First,18.6,18.6,8.34,HYUNDAI,ELITE I20,1197.0
1734,2014,32000,Diesel,Manual,First,23.4,23.4,4.35,MARUTI,SWIFT DZIRE,1248.0
1735,2014,62700,Diesel,Manual,First,22.7,22.7,6.8,FORD,ECOSPORT 1.5,1498.0
1736,2010,71000,Diesel,Manual,First,19.3,19.3,3.3,MARUTI,SWIFT DZIRE,1248.0
1737,2016,19947,Petrol,Manual,First,18.9,18.9,5.04,HYUNDAI,GRAND I10,1197.0
1738,2012,91000,Diesel,Automatic,First,11.4,11.4,9.2,FORD,ENDEAVOUR 3.0L,2953.0
1739,2014,74000,Diesel,Manual,First,22.07,22.07,5.7,VOLKSWAGEN,POLO DIESEL,1199.0
1740,2018,55594,Diesel,Manual,First,18.49,18.49,8.48,MAHINDRA,TUV 300,1493.0
1741,2013,58000,Diesel,Automatic,First,11.2,11.2,48.0,BMW,X6 XDRIVE,2993.0
1742,2012,110224,Diesel,Manual,First,19.01,19.01,6.1,RENAULT,DUSTER 110PS,1461.0
1743,2010,21002,Petrol,Manual,First,22.5,22.5,2.75,MARUTI,WAGON R,998.0
1744,2017,121000,Diesel,Manual,First,24.52,24.52,8.0,MARUTI,ERTIGA SHVS,1248.0
1745,2010,73513,Petrol,Manual,First,19.7,19.7,1.85,MARUTI,ALTO LXI,796.0
1746,2015,34000,Petrol,Automatic,First,20.51,20.51,3.85,MARUTI,WAGON R,998.0
1747,2017,28371,Petrol,Manual,First,15.1,15.1,4.74,MARUTI,EECO 7,1196.0
1748,2013,74755,Diesel,Manual,First,19.6,19.6,5.63,RENAULT,DUSTER 110PS,1461.0
1749,2011,25805,Petrol,Manual,First,18.2,18.2,2.62,MARUTI,ZEN ESTILO,1061.0
1750,2015,82603,Petrol,Manual,First,13.06,13.06,4.9,RENAULT,DUSTER PETROL,1598.0
1751,2006,110000,Petrol,Manual,First,13.5,13.5,2.65,HONDA,CIVIC 2006-2010,1799.0
1752,2012,88000,Diesel,Manual,First,16.0,16.0,5.99,MAHINDRA,XUV500 W8,2179.0
1753,2011,110000,Diesel,Manual,Second,21.0,21.0,2.4,MAHINDRA,VERITO 1.5,1461.0
1754,2017,15000,Petrol,Manual,First,21.7,21.7,4.25,RENAULT,KWID CLIMBER,999.0
1755,2013,70000,Diesel,Automatic,First,15.15,15.15,40.0,PORSCHE,CAYENNE DIESEL,2967.0
1756,2008,150000,Diesel,Manual,Second,28.4,28.4,2.7,MARUTI,SWIFT DDIS,1248.0
1757,2016,19000,Petrol,Manual,First,20.63,20.63,2.99,DATSUN,GO T,1198.0
1758,2011,37442,Petrol,Manual,First,18.5,18.5,3.4,HYUNDAI,I20 1.2,1197.0
1759,2016,63111,Diesel,Automatic,Second,18.12,18.12,30.8,BMW,5 SERIES,1995.0
1760,2012,88000,Diesel,Manual,First,20.77,20.77,5.85,MARUTI,ERTIGA ZDI,1248.0
1761,2014,42355,Petrol,Manual,First,18.9,18.9,4.0,HYUNDAI,GRAND I10,1197.0
1762,2011,75871,Petrol,Automatic,First,9.43,9.43,14.12,BMW,3 SERIES,2996.0
1763,2011,65000,Diesel,Manual,First,17.9,17.9,4.55,CHEVROLET,CRUZE LTZ,1998.0
1764,2015,69000,Diesel,Automatic,First,0.0,0.0,38.0,MERCEDES-BENZ,M-CLASS ML,2987.0
1765,2011,79232,Diesel,Manual,First,21.1,21.1,2.9,MARUTI,RITZ LDI,1248.0
1766,2007,220000,Petrol,Automatic,Second,11.74,11.74,6.0,MERCEDES-BENZ,NEW C-CLASS,1796.0
1767,2016,28470,Petrol,Manual,First,18.6,18.6,6.95,HYUNDAI,I20 1.2,1197.0
1768,2014,9759,Petrol,Manual,First,20.3,20.3,2.75,HYUNDAI,EON 1.0,998.0
1769,2014,75216,Diesel,Manual,First,22.9,22.9,5.1,MARUTI,SWIFT VDI,1248.0
1770,2017,8000,Petrol,Manual,First,18.6,18.6,6.75,HYUNDAI,I20 SPORTZ,1197.0
1771,2014,59451,Petrol,Manual,First,18.5,18.5,3.69,MARUTI,RITZ ZXI,1197.0
1772,2013,53996,Diesel,Manual,First,22.9,22.9,5.45,MARUTI,SWIFT VDI,1248.0
1773,2018,15135,Petrol,Manual,First,17.5,17.5,9.29,HONDA,WRV I-VTEC,1199.0
1774,2015,53000,Petrol,Automatic,Second,16.9,16.9,4.0,HYUNDAI,XCENT 1.2,1197.0
1775,2013,40000,Petrol,Manual,First,18.0,18.0,2.9,HONDA,AMAZE E,1198.0
1776,2013,21107,Petrol,Manual,First,17.1,17.1,5.25,HYUNDAI,VERNA 1.6,1591.0
1777,2014,56000,Petrol,Manual,First,16.8,16.8,5.75,HONDA,CITY V,1497.0
1778,2017,19623,Petrol,Manual,First,15.29,15.29,13.12,HYUNDAI,CRETA 1.6,1591.0
1779,2014,70963,Diesel,Manual,First,15.1,15.1,7.83,MAHINDRA,XUV500 W8,2179.0
1780,2013,25755,CNG,Manual,First,26.6,26.6,3.15,MARUTI,WAGON R,998.0
1781,2013,51450,Diesel,Manual,First,12.8,12.8,10.4,TOYOTA,INNOVA 2.5,2494.0
1782,2012,75000,Diesel,Manual,First,22.9,22.9,4.35,MARUTI,SWIFT VDI,1248.0
1783,2017,37832,Petrol,Automatic,First,22.5,22.5,5.23,MARUTI,WAGON R,998.0
1784,2016,43041,Petrol,Manual,First,18.9,18.9,6.01,HYUNDAI,GRAND I10,1197.0
1785,2014,97236,Diesel,Manual,First,25.8,25.8,4.4,HONDA,AMAZE VX,1498.0
1786,2010,83000,Diesel,Automatic,First,16.07,16.07,12.75,BMW,3 SERIES,1995.0
1787,2011,65000,Petrol,Manual,First,15.6,15.6,2.4,FORD,FIGO PETROL,1196.0
1788,2018,46007,Petrol,Manual,First,17.0,17.0,5.71,VOLKSWAGEN,AMEO 1.2,1198.0
1789,2015,65925,Diesel,Manual,Second,22.7,22.7,5.49,FORD,ECOSPORT 1.5,1498.0
1790,2004,73500,Petrol,Manual,Second,13.0,13.0,1.3,HONDA,CITY 1.3,1343.0
1791,2014,55000,Diesel,Manual,First,16.0,16.0,8.5,MAHINDRA,XUV500 W6,2179.0
1792,2012,115000,Diesel,Manual,First,13.0,13.0,12.99,TOYOTA,FORTUNER 4X2,2982.0
1793,2017,31184,Petrol,Manual,First,18.9,18.9,5.0,HYUNDAI,GRAND I10,1197.0
1794,2017,41747,Diesel,Automatic,First,28.4,28.4,9.0,MARUTI,DZIRE AMT,1248.0
1795,2016,38143,Diesel,Manual,First,22.9,22.9,5.22,MARUTI,SWIFT VDI,1248.0
1796,2012,19030,Petrol,Manual,First,16.47,16.47,3.8,VOLKSWAGEN,POLO PETROL,1198.0
1797,2019,20877,Petrol,Manual,First,18.16,18.16,7.27,TOYOTA,ETIOS LIVA,1197.0
1798,2016,23555,Petrol,Manual,First,22.0,22.0,5.1,MARUTI,SWIFT VXI,1197.0
1799,2013,29000,Diesel,Automatic,First,14.21,14.21,29.0,MERCEDES-BENZ,E-CLASS 2009-2013,2143.0
1800,2013,61000,Petrol,Manual,First,18.9,18.9,2.9,MARUTI,WAGON R,998.0
1801,2012,4187,Petrol,Manual,First,26.0,26.0,1.38,TATA,NANO LX,624.0
1802,2011,46000,Petrol,Manual,First,13.4,13.4,5.5,SKODA,LAURA 1.8,1798.0
1803,2016,28000,Petrol,Automatic,First,17.21,17.21,7.25,VOLKSWAGEN,POLO GT,1197.0
1804,2014,83558,Diesel,Manual,First,22.32,22.32,6.98,HYUNDAI,VERNA 1.6,1582.0
1805,2017,40000,Diesel,Manual,First,22.95,22.95,5.25,TATA,BOLT QUADRAJET,1248.0
1806,2013,36000,Petrol,Manual,First,21.1,21.1,1.95,HYUNDAI,EON D,814.0
1807,2014,21000,Diesel,Automatic,First,17.11,17.11,24.5,AUDI,A4 2.0,1968.0
1808,2013,62162,Diesel,Manual,First,12.99,12.99,8.31,TOYOTA,INNOVA 2.5,2494.0
1809,2012,83000,Diesel,Automatic,First,11.74,11.74,36.0,MERCEDES-BENZ,M-CLASS ML,2987.0
1810,2015,58000,Diesel,Manual,First,24.4,24.4,5.5,HYUNDAI,XCENT 1.1,1120.0
1811,2011,62332,Petrol,Automatic,First,11.7,11.7,5.89,HONDA,ACCORD 2.4,2354.0
1812,2016,50867,Diesel,Manual,First,20.34,20.34,7.95,VOLKSWAGEN,VENTO 1.5,1498.0
1813,2010,73000,Petrol,Manual,First,17.0,17.0,2.75,HYUNDAI,I20 SPORTZ,1197.0
1814,2012,98008,Diesel,Manual,First,22.7,22.7,6.25,HYUNDAI,ELANTRA CRDI,1582.0
1815,2015,36000,Diesel,Manual,First,20.0,20.0,4.95,FORD,FIGO DIESEL,1399.0
